,age,height_cm,weight_kgs,positions,overall_rating,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_rating,club_position,national_team,national_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,interceptions,vision,penalties,marking,standing_tackle,sliding_tackle,tags
0,31,170.18,72.1,"CF,RW,ST",94,110500000.0,565000.0,Left,5,4,4,Medium/ Low,Normal,226500000.0,86.0,RW,1,82.0,86,95,70,92,86,97,93,94,89,96,91,86,93,95,95,85,68,72,66,94,22,94,75,33,28,26,7.0
1,27,181.0,76.2,"CAM,RM,CM",88,69500000.0,205000.0,Right,3,5,4,High/ Medium,Lean,133800000.0,83.0,LCM,1,78.0,88,81,52,91,80,84,86,87,89,91,76,73,80,88,81,84,50,92,58,89,56,91,67,59,57,22,4.0
2,25,190.5,83.9,"CM,CAM",88,73000000.0,255000.0,Right,4,4,5,High/ Medium,Normal,144200000.0,82.0,LCM,1,84.0,80,75,75,86,85,87,85,82,90,90,71,79,76,82,66,90,83,88,87,82,64,88,82,63,67,67,4.0
3,27,162.56,59.0,"LW,ST",88,62000000.0,165000.0,Right,3,4,4,High/ Medium,Normal,105400000.0,82.0,LS,1,83.0,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,26,87,61,51,24,22,4.0
4,27,187.96,88.9,CB,88,60000000.0,135000.0,Right,3,3,2,High/ High,Normal,106500000.0,82.0,LCB,0,,30,22,83,68,14,69,28,28,60,63,70,75,50,82,40,55,81,75,94,15,88,49,33,91,88,87,4.0
5,27,193.04,92.1,CB,88,59500000.0,215000.0,Right,3,3,2,Medium/ Medium,Normal,114500000.0,83.0,LCB,1,81.0,53,52,83,79,45,70,60,70,81,76,74,77,61,87,49,81,88,75,92,64,88,60,62,90,89,84,2.0
6,20,178.5,73.0,"RW,ST,RM",88,81000000.0,100000.0,Right,3,4,5,High/ Medium,Lean,166100000.0,84.0,LS,1,84.0,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,38,82,70,34,34,32,3.0
7,30,172.72,69.9,ST,89,64500000.0,300000.0,Right,4,4,4,High/ Medium,Stocky,119300000.0,85.0,ST,1,82.0,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,24,83,83,30,20,12,4.0
9,32,185.42,77.1,ST,89,60000000.0,200000.0,Right,4,4,3,High/ High,Lean,111000000.0,84.0,RS,1,81.0,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,48,77,85,52,45,39,1.0
10,30,187.96,76.2,"CDM,CM",89,51500000.0,315000.0,Right,4,3,3,Medium/ Medium,Lean,105600000.0,86.0,CDM,1,85.0,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,87,87,60,90,86,80,2.0
13,27,175.26,73.0,"CF,ST",89,78000000.0,145000.0,Left,4,3,4,High/ High,Lean,165800000.0,84.0,RS,1,84.0,82,89,84,84,87,87,86,84,78,90,88,85,90,90,82,82,90,86,62,82,49,85,83,59,54,48,5.0
14,26,175.26,71.2,"RW,ST",89,78500000.0,265000.0,Left,3,3,4,High/ Medium,Normal,151100000.0,83.0,ST,1,73.0,78,90,59,83,76,89,83,60,74,88,94,91,91,92,88,80,68,84,70,83,55,84,75,38,43,41,5.0
15,25,178.5,74.8,"CAM,RW",89,89000000.0,205000.0,Left,3,3,4,Medium/ Medium,Normal,153500000.0,85.0,RW,1,82.0,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,32,87,86,23,20,20,5.0
16,24,187.96,79.8,CB,86,53500000.0,89000.0,Right,1,4,2,Medium/ High,Normal,101700000.0,82.0,LCB,0,,40,42,82,73,40,59,34,30,69,67,70,73,48,83,51,50,78,77,85,30,86,57,56,92,89,84,1.0
17,33,178.5,67.1,CDM,87,20500000.0,200000.0,Right,3,4,3,Medium/ High,Lean,37900000.0,85.0,CDM,0,,68,69,66,85,74,77,70,72,83,82,68,67,72,89,78,83,78,84,76,78,89,75,61,87,86,80,1.0
18,31,185.42,88.9,ST,87,48500000.0,205000.0,Right,4,4,3,High/ Medium,Normal,,83.0,ST,0,,68,91,79,74,88,83,74,62,59,84,70,72,75,86,69,86,79,70,85,80,20,74,70,35,22,18,1.0
19,30,182.88,78.0,"CM,CDM",87,46500000.0,260000.0,Right,4,4,3,Medium/ High,Lean,95300000.0,86.0,LCM,0,,84,79,59,87,84,82,88,82,90,85,66,62,73,80,66,84,39,83,71,87,81,86,82,76,75,73,1.0
20,31,187.96,86.2,CB,87,34000000.0,155000.0,Left,3,3,3,High/ High,Normal,62900000.0,83.0,LCB,1,85.0,72,56,80,79,52,71,63,73,74,77,61,65,61,85,60,80,85,75,79,66,89,68,66,89,87,88,2.0
21,31,170.18,60.8,"CF,ST",87,45000000.0,135000.0,Right,3,4,4,High/ Low,Normal,76500000.0,82.0,SUB,1,85.0,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,36,83,79,25,40,40,4.0
22,30,175.26,79.8,LB,87,36500000.0,240000.0,Left,4,4,5,High/ Low,Normal,74800000.0,86.0,SUB,0,,90,73,75,84,61,90,85,67,78,92,83,82,86,87,86,83,76,89,78,70,83,82,59,71,82,83,3.0
23,30,185.42,81.2,CB,87,44000000.0,165000.0,Right,3,3,2,Medium/ Medium,Normal,84700000.0,83.0,RCB,1,85.0,64,45,82,79,38,62,63,69,85,75,61,67,60,88,50,78,84,76,79,65,87,67,58,90,91,86,2.0
24,29,170.18,68.0,LB,87,38000000.0,250000.0,Left,3,3,3,High/ Medium,Normal,77900000.0,86.0,LB,1,85.0,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,84,76,59,74,84,84,3.0
25,27,175.26,69.9,"CM,CAM,CDM",87,51500000.0,140000.0,Right,3,3,5,Medium/ Medium,Normal,85000000.0,85.0,LDM,1,85.0,72,69,54,90,90,90,85,77,87,90,78,69,90,86,86,76,75,75,59,79,78,86,75,67,67,71,4.0
26,29,185.42,84.8,ST,87,52000000.0,115000.0,Right,3,4,3,High/ Medium,Normal,88400000.0,80.0,ST,1,83.0,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,40,65,78,34,33,32,1.0
28,26,175.26,78.9,"CAM,CM,LW",87,62500000.0,260000.0,Right,3,3,4,High/ Medium,Normal,132800000.0,86.0,SUB,1,85.0,75,79,55,86,65,94,88,76,81,95,75,69,87,77,90,69,64,70,59,85,64,86,76,60,64,51,3.0
29,27,181.0,74.8,"CAM,CM,RM",87,59000000.0,260000.0,Left,4,3,4,Medium/ Medium,Normal,,85.0,CAM,1,79.0,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,55,88,81,52,41,44,5.0
30,27,185.42,83.9,CDM,87,50500000.0,240000.0,Right,3,3,2,Medium/ High,Normal,107300000.0,86.0,CDM,0,,58,64,76,83,61,69,63,74,82,78,61,66,62,86,66,86,88,87,89,81,86,77,66,84,87,86,4.0
31,26,181.0,74.8,ST,87,64500000.0,130000.0,Right,3,4,3,Medium/ Low,Normal,114500000.0,82.0,ST,1,82.0,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,69,76,70,22,64,82,45,24,20,3.0
33,25,181.0,64.9,"CAM,RW",84,38000000.0,31000.0,Left,3,2,4,High/ High,Lean,56100000.0,78.0,RAM,0,,84,68,53,86,77,84,90,78,89,83,76,74,86,83,78,80,38,86,59,76,62,88,72,52,66,36,4.0
34,25,187.96,78.0,CDM,84,34000000.0,120000.0,Right,3,2,3,Medium/ High,Lean,65500000.0,83.0,LDM,0,,79,66,75,83,47,76,71,53,80,82,69,72,69,83,67,78,75,92,79,65,84,77,91,84,86,84,0.0
35,23,182.88,76.2,"LW,ST,LM",84,42500000.0,165000.0,Right,3,3,4,Medium/ Medium,Normal,89300000.0,82.0,LW,0,,76,84,69,78,74,88,84,54,60,87,88,89,85,82,81,84,74,76,75,80,42,74,81,34,39,36,1.0
36,23,181.0,74.8,ST,84,40000000.0,77000.0,Right,3,4,3,High/ Medium,Normal,71000000.0,79.0,LS,1,85.0,69,87,77,77,85,83,63,56,55,84,93,93,81,86,76,78,78,83,64,70,37,61,72,39,20,19,1.0
37,23,195.58,97.1,CB,84,36500000.0,84000.0,Right,2,3,2,Medium/ Medium,Stocky,67500000.0,85.0,RCB,1,85.0,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,30,32,83,85,83,2.0
38,24,178.5,68.9,"CAM,CM",84,40500000.0,22000.0,Right,2,3,4,High/ High,Lean,84000000.0,82.0,SUB,1,78.0,84,74,58,85,84,83,86,85,84,86,79,76,77,84,78,87,72,91,67,88,71,86,82,66,66,57,2.0
39,26,181.0,71.2,LB,84,31000000.0,22000.0,Left,3,2,3,High/ Medium,Lean,64300000.0,81.0,LB,0,,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,80,74,73,80,81,79,1.0
40,24,185.42,79.8,CB,84,34000000.0,63000.0,Right,2,3,2,Medium/ High,Normal,72300000.0,84.0,RCB,1,81.0,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,90,67,85,48,85,27,38,88,86,87,1.0
41,25,172.72,74.8,CAM,84,40500000.0,84000.0,Left,3,3,4,High/ Medium,Stocky,80000000.0,79.0,CAM,0,,83,82,49,83,77,90,81,79,75,89,79,79,84,80,91,84,69,77,82,82,28,81,76,31,37,25,1.0
42,22,187.96,78.9,CB,84,34000000.0,105000.0,Right,2,3,2,Medium/ High,Lean,65500000.0,83.0,SUB,1,79.0,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,82,49,44,84,85,88,0.0
43,23,182.88,76.2,"LW,RW",84,41500000.0,195000.0,Left,3,3,4,High/ Medium,Normal,88200000.0,86.0,SUB,1,85.0,82,80,57,83,79,85,83,76,81,85,85,82,79,82,76,86,58,76,61,88,45,82,62,40,42,39,1.0
